Shot_ID,Game,Events,County,Province,Shot Type,Set Play,Shot Outcome,Shot Pressure,Assist Type,Build Up Passes,Shot Method,Match Outcome,Winning Margin,Championship Stage,Distance from Goal,Angle
Shot_1,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,8,Left Foot,Draw,Draw,Provincial Championship,14.56021978,-15.9453959
Shot_2,Armagh v Cavan,Shot,Armagh,Ulster,Goal Attempt,Open Play,Wide,Low,Hand Pass,4,Right Foot,Draw,Draw,Provincial Championship,11.18033989,26.56505118
Shot_3,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Medium,Kick Pass,3,Right Foot,Draw,Draw,Provincial Championship,34.20526275,15.2551187
Shot_4,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Post,Low,Kick Pass,16,Right Foot,Draw,Draw,Provincial Championship,20.24845673,32.90524292
Shot_5,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Short,High,Hand Pass,10,Right Foot,Draw,Draw,Provincial Championship,32.24903099,-7.125016349
Shot_6,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,2,Right Foot,Draw,Draw,Provincial Championship,29.12043956,15.9453959
Shot_7,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Low,Hand Pass,6,Right Foot,Draw,Draw,Provincial Championship,41.14608122,-25.94229549
Shot_8,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Low,Hand Pass,12,Right Foot,Draw,Draw,Provincial Championship,27.80287755,52.30575953
Shot_9,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Wide,Low,Hand Pass,7,Right Foot,Draw,Draw,Provincial Championship,36.12478374,-4.763641691
Shot_10,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Short,Medium,Hand Pass,2,Left Foot,Draw,Draw,Provincial Championship,36.76955262,22.38013505
Shot_11,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,8,Left Foot,Draw,Draw,Provincial Championship,37.58989226,28.61045967
Shot_12,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Low,Hand Pass,3,Right Foot,Draw,Draw,Provincial Championship,33.61547263,22.75097634
Shot_13,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Point,Medium,Hand Pass,4,Right Foot,Draw,Draw,Provincial Championship,39.8246155,-38.88449643
Shot_14,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Wide,Low,Hand Pass,1,Right Foot,Draw,Draw,Provincial Championship,31.38470965,-22.4794344
Shot_15,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,2,Right Foot,Draw,Draw,Provincial Championship,15.65247584,-26.56505118
Shot_16,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,5,Right Foot,Draw,Draw,Provincial Championship,29.68164416,57.38075693
Shot_17,Armagh v Cavan,Shot,Cavan,Ulster,Point Attempt,Open Play,Point,Medium,Hand Pass,11,Right Foot,Draw,Draw,Provincial Championship,36.40054945,20.92450174
Shot_18,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Point,Medium,Hand Pass,,Left Foot,Draw,Draw,Provincial Championship,26.07680962,-32.47119229
Shot_19,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Free Kick from Hands,Wide,Low,Free Kick Won,9,Right Foot,Draw,Draw,Provincial Championship,37.44329045,34.11447295
Shot_20,Armagh v Cavan,Shot,Armagh,Ulster,Point Attempt,Open Play,Wide,Medium,Hand Pass,2,Right Foot,Draw,Draw,Provincial Championship,32.14031736,-5.355825043
